DOL ,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV,Electric Range,Base MSRP,Legislative District,Electric Utility,2020 Census Tract,Longitude,latitude
192377419,King,Seattle,WA,98107,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800,-122.37815,47.66866
216737293,King,Redmond,WA,98052,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032331,-122.12302,47.67668
156437529,King,Seattle,WA,98109,2021,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006701,-122.34848,47.632405
477811113,King,Bellevue,WA,98006,2016,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800,-122.16937,47.571015
236391760,King,Kirkland,WA,98033,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022006,-122.20264,47.6785
331975094,King,Kirkland,WA,98033,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022703,-122.20264,47.6785
477751704,Clark,Vancouver,WA,98661,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,17,0,49,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041112,-122.641835,45.638545
228894725,King,Maple Valley,WA,98038,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,42,0,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032011,-122.05191,47.357985
183452783,King,Issaquah,WA,98029,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221,-121.999595,47.547635
155803952,King,Kenmore,WA,98028,2015,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,46,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022101,-122.2504747,47.7617128
180552123,King,Seattle,WA,98119,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902,-122.363815,47.63046
233462260,King,Sammamish,WA,98074,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316,-122.0313266,47.6285782
141879636,Thurston,Yelm,WA,98597,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,32,0,2,PUGET SOUND ENERGY INC,53067012421,-122.61023,46.94126
207071448,King,Seatac,WA,98148,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
150957418,Snohomish,Lake Stevens,WA,98258,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,44,PUGET SOUND ENERGY INC,53061052607,-122.112065,48.004345
147164839,King,Kirkland,WA,98034,2014,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022006,-122.209285,47.71124
